aar;Afar
abk;Abkhazian
ace;Achinese
ach;Acoli
ada;Adangme
ady;Adyghe
afa;Afro-Asiatic languages
afh;Afrihili
afr;Afrikaans
ain;Ainu
aka;Akan
akk;Akkadian
sqi;Albanian
ale;Aleut
alg;Algonquian languages
alt;Southern Altai
amh;Amharic
ang;English
anp;Angika
apa;Apache languages
ara;Arabic
arc;Official Aramaic (700-300 BCE)
arg;Aragonese
hye;Armenian
arn;Mapudungun; Mapuche
arp;Arapaho
art;Artificial languages
arw;Arawak
asm;Assamese
ast;Asturian
ath;Athapascan languages
aus;Australian languages
ava;Avaric
ave;Avestan
awa;Awadhi
aym;Aymara
aze;Azerbaijani
bad;Banda languages
bai;Bamileke languages
bak;Bashkir
bal;Baluchi
bam;Bambara
ban;Balinese
eus;Basque
bas;Basa
bat;Baltic languages
bej;Beja; Bedawiyet
bel;Belarusian
bem;Bemba
ben;Bengali
ber;Berber languages
bho;Bhojpuri
bih;Bihari languages
bik;Bikol
bin;Bini; Edo
bis;Bislama
bla;Siksika
bnt;Bantu languages
bod;Tibetan
bos;Bosnian
bra;Braj
bre;Breton
btk;Batak languages
bua;Buriat
bug;Buginese
bul;Bulgarian
mya;Burmese
byn;Blin; Bilin
cad;Caddo
cai;Central American Indian languages
car;Galibi Carib
cat;Catalan
cau;Caucasian languages
ceb;Cebuano
cel;Celtic languages
ces;Czech
cha;Chamorro
chb;Chibcha
che;Chechen
chg;Chagatai
zho;Chinese
chk;Chuukese
chm;Mari
chn;Chinook jargon
cho;Choctaw
chp;Chipewyan
chr;Cherokee
chu;Church Slavic
chv;Chuvash
chy;Cheyenne
cmc;Chamic languages
cop;Coptic
cor;Cornish
cos;Corsican
cpe;Creoles and pidgins
cpf;Creoles and pidgins
cpp;Creoles and pidgins
cre;Cree
crh;Crimean Tatar
crp;Creoles and pidgins
csb;Kashubian
cus;Cushitic languages
cym;Welsh
dak;Dakota
dan;Danish
dar;Dargwa
day;Land Dayak languages
del;Delaware
den;Slave (Athapascan)
deu;German
dgr;Dogrib
din;Dinka
div;Divehi
doi;Dogri
dra;Dravidian languages
dsb;Lower Sorbian
dua;Duala
dum;Dutch
nld;Dutch; Flemish
dyu;Dyula
dzo;Dzongkha
efi;Efik
egy;Egyptian (Ancient)
eka;Ekajuk
ell;Greek
elx;Elamite
eng;English
enm;English
epo;Esperanto
est;Estonian
ewe;Ewe
ewo;Ewondo
fan;Fang
fao;Faroese
fas;Persian
fat;Fanti
fij;Fijian
fil;Filipino
fin;Finnish
fiu;Finno-Ugrian languages
fon;Fon
fra;French
frm;French
fro;French
frr;Northern Frisian
frs;Eastern Frisian
fry;Western Frisian
ful;Fulah
fur;Friulian
gaa;Ga
gay;Gayo
gba;Gbaya
gem;Germanic languages
kat;Georgian
gez;Geez
gil;Gilbertese
gla;Gaelic
gle;Irish
glg;Galician
glv;Manx
gmh;German
goh;German
gon;Gondi
gor;Gorontalo
got;Gothic
grb;Grebo
grc;Greek
grn;Guarani
gsw;Swiss German
guj;Gujarati
gwi;Gwich'in
hai;Haida
hat;Haitian
hau;Hausa
haw;Hawaiian
heb;Hebrew
her;Herero
hil;Hiligaynon
him;Himachali languages
hin;Hindi
hit;Hittite
hmn;Hmong; Mong
hmo;Hiri Motu
hrv;Croatian
hsb;Upper Sorbian
hun;Hungarian
hup;Hupa
iba;Iban
ibo;Igbo
isl;Icelandic
ido;Ido
iii;Sichuan Yi
ijo;Ijo languages
iku;Inuktitut
ile;Interlingue
ilo;Iloko
ina;Interlingua (International Auxiliary Language Association)
inc;Indic languages
ind;Indonesian
ine;Indo-European languages
inh;Ingush
ipk;Inupiaq
ira;Iranian languages
iro;Iroquoian languages
ita;Italian
jav;Javanese
jbo;Lojban
jpn;Japanese
jpr;Judeo-Persian
jrb;Judeo-Arabic
kaa;Kara-Kalpak
kab;Kabyle
kac;Kachin; Jingpho
kal;Kalaallisut
kam;Kamba
kan;Kannada
kar;Karen languages
kas;Kashmiri
kau;Kanuri
kaw;Kawi
kaz;Kazakh
kbd;Kabardian
kha;Khasi
khi;Khoisan languages
khm;Central Khmer
kho;Khotanese
kik;Kikuyu
kin;Kinyarwanda
kir;Kirghiz
kmb;Kimbundu
kok;Konkani
kom;Komi
kon;Kongo
kor;Korean
kos;Kosraean
kpe;Kpelle
krc;Karachay-Balkar
krl;Karelian
kro;Kru languages
kru;Kurukh
kua;Kuanyama
kum;Kumyk
kur;Kurdish
kut;Kutenai
lad;Ladino
lah;Lahnda
lam;Lamba
lao;Lao
lat;Latin
lav;Latvian
lez;Lezghian
lim;Limburgan
lin;Lingala
lit;Lithuanian
lol;Mongo
loz;Lozi
ltz;Luxembourgish
lua;Luba-Lulua
lub;Luba-Katanga
lug;Ganda
lui;Luiseno
lun;Lunda
luo;Luo (Kenya and Tanzania)
lus;Lushai
mkd;Macedonian
mad;Madurese
mag;Magahi
mah;Marshallese
mai;Maithili
mak;Makasar
mal;Malayalam
man;Mandingo
mri;Maori
map;Austronesian languages
mar;Marathi
mas;Masai
msa;Malay
mdf;Moksha
mdr;Mandar
men;Mende
mga;Irish
mic;Mi'kmaq; Micmac
min;Minangkabau
mis;Uncoded languages
mkh;Mon-Khmer languages
mlg;Malagasy
mlt;Maltese
mnc;Manchu
mni;Manipuri
mno;Manobo languages
moh;Mohawk
mon;Mongolian
mos;Mossi
mul;Multiple languages
mun;Munda languages
mus;Creek
mwl;Mirandese
mwr;Marwari
myn;Mayan languages
myv;Erzya
nah;Nahuatl languages
nai;North American Indian languages
nap;Neapolitan
nau;Nauru
nav;Navajo
nbl;Ndebele
nde;Ndebele
ndo;Ndonga
nds;Low German
nep;Nepali
new;Nepal Bhasa
nia;Nias
nic;Niger-Kordofanian languages
niu;Niuean
nno;Norwegian Nynorsk
nob;Bokmål
nog;Nogai
non;Norse
nor;Norwegian
nqo;N'Ko
nso;Pedi
nub;Nubian languages
nwc;Classical Newari
nya;Chichewa
nym;Nyamwezi
nyn;Nyankole
nyo;Nyoro
nzi;Nzima
oci;Occitan (post 1500)
oji;Ojibwa
ori;Oriya
orm;Oromo
osa;Osage
oss;Ossetian
ota;Turkish
oto;Otomian languages
paa;Papuan languages
pag;Pangasinan
pal;Pahlavi
pam;Pampanga
pan;Panjabi
pap;Papiamento
pau;Palauan
peo;Persian
phi;Philippine languages
phn;Phoenician
pli;Pali
pol;Polish
pon;Pohnpeian
por;Portuguese
